Sector,Bank,Qtr,OUTSTANDING No. AT THE END OF THE PREVIOUS QUARTER,OUTSTANDING AMOUNT AT THE END OF THE PREVIOUS QUARTER,No. OF APPLICATION RECEIVED DURING THE QUARTER,No. OF APPLICATIONS SANCTIONED DURING THE QUARTER,TOTAL AMOUNT SANCTIONED DURING THE QUARTER,No. OF  DISBURSALS DURING THE QUARTER,TOTAL AMOUNT  DISBURSED DURING THE QUARTER,OUTSTANDING No. AT THE END OF THE QUARTER,TOTAL OUTSTANDING AMOUNT AT THE END OF THE QUARTER
Government,STATE BANK GROUP,01-Jun-09,320788,342167.6,70278,56643,58152,48614,54614,360000.00,388752.37
Government,STATE BANK GROUP,01-Sep-09,360000,388752.37,70865,44854,22747,28963,17924,388052.00,410408.55
Government,STATE BANK GROUP,01-Mar-10,357641,444977.76,41905,36404,18728,27467,13286,369577.00,456067.47
Government,STATE BANK GROUP,01-Jun-10,369577,456067.47,12687,8316,25358,5155,22995,388141.00,536968.39
Government,STATE BANK GROUP,01-Sep-10,388141,536968.39,10240,6966,24479.2,4755,22698.2,460167.00,650314.66
Government,STATE BANK GROUP,01-Dec-10,460167,650314.66,27326,23470,45165.8,21754,43116.8,480292.00,684060.66
Government,STATE BANK GROUP,01-Mar-11,480292,684060.66,29820,26337,31996,22372,26230,492891.00,680782.74
Government,STATE BANK GROUP,01-Jun-11,492891,680782.74,76778,72063,18865.34,71321,17468.42,563454.00,766432.47
Government,STATE BANK GROUP,01-Sep-11,563454,766432.47,14871,12228,21825.9,11612,19331.98,564485.00,780728.51
Government,STATE BANK GROUP,01-Dec-11,564485,780728.51,26723,25144,33693.56,25114,31329.08,586733.00,813721.08
Government,STATE BANK GROUP,01-Mar-12,586733,813721.08,105813,104507,228772.3,103608,227583.6,648276.00,1005788.56
Government,STATE BANK GROUP,01-Jun-12,648276,1005788.56,92851,79814,56922.65,88166,72450.95,644352.00,761119.57
Government,STATE BANK GROUP,01-Sep-12,644352,761119.57,51869,38955,24704.4,25590,21582.31,717610.00,1308304.86
Government,STATE BANK GROUP,01-Dec-12,,,,,,,,,
Government,STATE BANK GROUP,01-Mar-13,821870,1354153.71,69226,66824,219265.55,66783,219548.55,854415.00,1470795.28
Government,STATE BANK GROUP,01-Jun-13,854415,1470795.28,32269,29469,8810.35,26098,8627.95,874318.00,1608831.58
Government,STATE BANK GROUP,01-Sep-13,874318,1608831.58,17631,16340,28988.14,16320,26224.99,881092.00,1616924.59
Government,STATE BANK GROUP,01-Dec-13,881092,1616924.59,9318,9141,23110.9,9141,21999.9,867849.00,1608867.28
Government,STATE BANK GROUP,01-Mar-14,867849,1608867.28,51782,49130,33698.2,47695,32035.12,922148.00,1637979.88
Government,STATE BANK GROUP,01-Jun-14,922148,1637979.88,50846,49942,56898.25,49717,54172.82,968740.00,1674695.49
Government,STATE BANK GROUP,01-Sep-14,968740,1674695.49,81466,5553,10518.78,2529,9498.64,987195.00,1702296.78
Government,STATE BANK GROUP,01-Dec-14,987195,1702296.78,82570,7594,9525.02,5836,8671.02,979050.00,1653569
Government,STATE BANK GROUP,01-Mar-15,979050,1653569,,,,,,1906174.00,3901656.84
Government,STATE BANK GROUP,01-Jun-15,1906174,3901656.84,406235,402389,900159.89,402034,887813.89,1681124.00,1942631
Government,STATE BANK GROUP,01-Sep-15,1681124,1942631,346979,343597,469214,343405,461998,1391739.00,1809060
Government,STATE BANK GROUP,01-Dec-15,1391739,1809060,329408,291870,451584.11,287205,442313.4,1336348.00,1642066.71
Government,STATE BANK GROUP,01-Mar-16,28407,61088,770,770,2588,759,2545,29166.00,63633
Government,STATE BANK GROUP,01-Jun-16,29166,63633,680,680,2322,680,2077,29846.00,65710
Government,STATE BANK GROUP,01-Sep-16,29846,6571000,620,620,202900,600,1749,30446.00,67459
Government,STATE BANK GROUP,01-Dec-16,30446,67459,337,337,883,397,795,30964.00,68424
Government,STATE BANK GROUP,01-Mar-17,,,,,,,,,
Government,STATE BANK GROUP,01-Jun-17,,,,,,,,,
Government,STATE BANK GROUP,01-Sep-17,1138121,2164113,34135,34135,33651,34135,33208,1134158.00,2162458
Government,STATE BANK GROUP,01-Dec-17,1134158,2162458,29535,29535,29309,29535,28940,1148101.00,2176642
Government,STATE BANK GROUP,01-Mar-18,1148101,2176642,28155,28155,28253,28008,26848,1158995.00,2189204
Government,STATE BANK GROUP,01-Jun-18,1158995,2189204,18477,18477,19860,18463,17782,1162969.00,2191558
Government,ALLAHABADBANK,01-Jun-09,428,642.53,17,15,18.2,15,11.8,432.00,632.24
Government,ALLAHABADBANK,01-Sep-09,432,632.24,35,35,28.38,30,23.98,432.00,632.24
Government,ALLAHABADBANK,01-Mar-10,432,632.34,67,67,58.85,67,58.85,480.00,632.34
Government,ALLAHABADBANK,01-Jun-10,480,632.34,5,5,13,5,13,432.00,632.34
Government,ALLAHABADBANK,01-Sep-10,432,632.34,5,5,13,5,13,437.00,635.84
Government,ALLAHABADBANK,01-Dec-10,437,635.84,23,23,79.07,9,16.5,446.00,652.34
Government,ALLAHABADBANK,01-Mar-11,446,652.34,54,54,1483.8,52,1396.66,1171.00,5824.65
